problem,problem_type
Mẹ giữ 26 trái bóng. Anh giữ 16 trái bóng. Mẹ mượn 10 trái bóng từ Anh. Hỏi mỗi người có bao nhiêu trái bóng?,change_in
An cầm 73 cái kẹo. An sử dụng 57 cái kẹo. Hỏi An còn bao nhiêu cái kẹo?,decrease
Bạn cầm 57 quyển sách. Lan cầm 93 quyển sách. Hỏi Bạn và Lan có tất cả bao nhiêu quyển sách?,combine
Anh cầm 86 dây tai nghe. Anh bán đi 86 dây tai nghe. Hỏi Anh còn bao nhiêu dây tai nghe?,decrease
Chị có 34 quả táo. Mẹ có 15 quả táo. Chị mượn 78 quả táo từ Mẹ. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Quân nắm 64 quả táo. Trung nắm 74 quả táo. Quân giữ 27 quả táo từ Trung. Hỏi mỗi người có bao nhiêu quả táo?,change_in
Long cầm 16 quả táo. Vũ cầm 95 quả táo. Long bán 14 quả táo cho Vũ. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Vy cầm 9 cái vòng. Vũ cầm 65 cái vòng. Hỏi Vy và Vũ có tổng cộng bao nhiêu cái vòng?,combine
Trung giữ 32 cái bánh. Trung bị mất 21 cái bánh. Hỏi Trung còn bao nhiêu cái bánh?,decrease
Tôi nắm 26 chiếc khăn phiêu. Hà nắm 76 chiếc khăn phiêu. Tôi mua 9 chiếc khăn phiêu từ Hà. Hỏi mỗi người có bao nhiêu chiếc khăn phiêu?,change_in
Bố sở hữu 3 cái quần trắng. Phụng sở hữu 97 cái quần trắng. Bố hiến 1 cái quần trắng cho Phụng. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_out
Lan giữ 77 chiếc khăn phiêu. Lan có thêm 75 chiếc khăn phiêu nữa. Hỏi Lan có bao nhiêu chiếc khăn phiêu?,increase
Vũ giữ 6 hộp kẹo. Trung giữ 93 hộp kẹo. Hỏi Vũ và Trung có cùng nhau bao nhiêu hộp kẹo?,combine
Bạn nắm 100 cái kẹo. Phụng nắm 86 cái kẹo. Bạn tặng 52 cái kẹo cho Phụng. Hỏi mỗi người có bao nhiêu cái kẹo?,change_out
Tuấn cầm 5 cái gối ôm. Anh cầm 7 cái gối ôm. Tuấn phân phát 2 cái gối ôm cho Anh. Hỏi mỗi người có bao nhiêu cái gối ôm?,change_out
Nga cầm 71 quyển truyện. Con cầm 50 quyển truyện. Nga phân phát 33 quyển truyện cho Con. Hỏi mỗi người có bao nhiêu quyển truyện?,change_out
Trung nắm 10 quả táo. Tuấn nắm 47 quả táo. Trung ném 7 quả táo cho Tuấn. Hỏi mỗi người có bao nhiêu quả táo?,change_out
Hà nắm 48 quả bóng xanh. Hà có thêm 42 quả bóng xanh nữa. Hỏi Hà có bao nhiêu quả bóng xanh?,increase
Bố cầm 72 cái quần trắng. Hiếu cầm 94 cái quần trắng. Bố giữ 44 cái quần trắng từ Hiếu. Hỏi mỗi người có bao nhiêu cái quần trắng?,change_in
Bố sở hữu 2 cây viết. Bố tìm được 28 cây viết nữa. Hỏi Bố có bao nhiêu cây viết?,increase
Bố cầm 61 cái lắc tay. Bố bỏ ra 32 cái lắc tay. Hỏi Bố còn bao nhiêu cái lắc tay?,decrease
Vy cầm 42 cây thước. Vy đặt xuống 26 cây thước. Hỏi Vy còn bao nhiêu cây thước?,decrease
Long giữ 49 quả lê. Long nhận thêm 75 quả lê nữa. Hỏi Long có bao nhiêu quả lê?,increase
Thầy sở hữu 70 cái bánh. Thầy bán đi 32 cái bánh. Hỏi Thầy còn bao nhiêu cái bánh?,decrease
Phụng nắm 74 quyển sách. Phụng mang thêm 57 quyển sách nữa. Hỏi Phụng có bao nhiêu quyển sách?,increase
Bạn giữ 68 quả lê. Xuân giữ 19 quả lê. Hỏi Bạn và Xuân có tổng cộng bao nhiêu quả lê?,combine
